Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123014279,The Disturbance 3: The Truth: Hard Science Fiction,Brandon Q. Morris,"Morris, Brandon Q.",,"=""""","=""""",5,4.14,Hard-SF.com,Kindle Edition,327,2023,,,2024/09/14,,,read,,,,1,0
75699602,Lockdown Tales 2,Neal Asher,"Asher, Neal",,"=""""","=""""",5,4.34,NewCon Press,Kindle Edition,468,2023,,,2024/09/14,,,read,,,,1,0
60650452,"Build Your Own Programming Language: A programmer's guide to designing compilers, interpreters, and DSLs for solving modern computing problems",Clinton L. Jeffery,"Jeffery, Clinton L.",,"=""1800204809""","=""9781800204805""",4,3.75,Packt Publishing,Paperback,494,2021,,,2024/09/14,,,read,,,,1,0
50708450,House of Suns,Alastair Reynolds,"Reynolds, Alastair",,"=""0316462616""","=""9780316462617""",5,4.24,Orbit,Kindle Edition,516,2020,2008,,2024/09/14,,,read,,,,1,0
58661468,Crafting Interpreters,Robert Nystrom,"Nystrom, Robert",,"=""0990582930""","=""9780990582939""",5,4.69,Genever Benning ,Paperback,865,2021,2021,,2024/09/14,,,read,,,,1,0
60210692,"The Sheriff 4 (Sheriff Duke, #4)",M.R. Forbes,"Forbes, M.R.",,"=""""","=""""",5,4.57,,Kindle Edition,360,2022,,,2024/09/14,,,read,,,,1,0
60154546,Stars End. The Complete Series Box Set (M.R. Forbes Box Sets),M.R. Forbes,"Forbes, M.R.",,"=""""","=""""",5,4.53,,Kindle Edition,1162,2022,,,2024/09/14,,,read,,,,1,0
38321266,"The Expert System's Brother (Expert System, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",5,3.93,Tor.com,Kindle Edition,160,2018,2018,,2024/09/14,,,read,,,,1,0
49093654,"Diamond Dogs, Turquoise Days",Alastair Reynolds,"Reynolds, Alastair",,"=""0316462543""","=""9780316462549""",5,4.00,Orbit,Kindle Edition,266,2020,2001,,2024/09/14,,,read,,,,1,0
33388562,Who Authored the John Titor Legend?,Mike Sauve,"Sauve, Mike",,"=""""","=""""",5,3.91,Big Swerve Press,Kindle Edition,150,2016,,,2024/09/14,,,read,,,,1,0
59337155,Hellfire (Mech Force #1),Rick Partlow,"Partlow, Rick",Drew Avera,"=""""","=""""",5,3.96,Aethon Books,Kindle Edition,181,2021,,,2024/09/14,,,read,,,,1,0
56791700,Transformers for Natural Language Processing,Denis Rothman,"Rothman, Denis",,"=""""","=""9781800565791""",5,4.18,Packt,Paperback,384,2021,,,2024/09/14,,,read,,,,1,0
25830594,"The Ember War (The Ember War Saga, #1)",Richard Fox,"Fox, Richard",,"=""""","=""""",5,3.95,Triplane Press,Kindle Edition,426,2015,2015,,2024/09/14,,,read,,,,1,0
58896371,Crescent Earth,Ilia Epifanov,"Epifanov, Ilia",,"=""163730465X""","=""9781637304655""",5,3.91,New Degree Press,Kindle Edition,240,2021,,,2024/09/14,,,read,,,,1,0
